brand,founded,url
Glenmorangie,1843,https://www.glenmorangie.com/en-gb
Highland Park,1798,https://www.highlandparkwhisky.com/en-gb
Glengoyne,1833,https://www.glengoyne.com/
Glenfiddich,1887,https://www.glenfiddich.com/uk/
Talisker,1830,https://www.malts.com/en-row/distilleries/talisker/
Dalmore,1839,https://www.thedalmore.com/
Aberfeldy,1898,https://www.thedalmore.com/
Oban,1794,https://www.malts.com/en-row/distilleries/oban/
GlenDronach,1826,https://www.glendronachdistillery.com/
Glen Garioch,1797,https://www.glengarioch.com/
Macallan,1869,https://www.themacallan.com/en
Bowmore,1779,https://www.bowmore.com/
Glenlivet,1824,https://www.theglenlivet.com/en/
Edradour,1825,https://www.edradour.com/
